Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2015-11-18T11:49Z(-7.0h, +7.0h)",-7.58,NA,2015-11-16T18:28Z,48.93,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2015-11-16T031200-CME-001
"2015-11-18T12:00Z(-6.0h, +12.0h)",-7.4,80,2015-11-16T18:50Z,48.57,Max Kp Range: 4.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2015-11-16T031200-CME-001
2015-11-18T12:09Z,-7.25,53,NA,NA,Max Kp Range: 4.0 - 5.25, Average of all Methods ,Auto Generated (CCMC),2015-11-16T031200-CME-001
"2015-11-18T13:00Z(-12.0h, +12.0h)",-6.4,4,2015-11-17T08:41Z,34.72,Max Kp Range: 6.0 - --,SIDC ,Leila Mays (GSFC),2015-11-16T031200-CME-001
2015-11-18T13:57Z,-5.45,NA,2015-11-17T14:49Z,28.58,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-11-16T031200-CME-001
2015-11-18T16:05Z,-3.32,NA,2015-11-17T14:49Z,28.58,NA,SPM ,Xinhua Zhao (NSSC CAS),2015-11-16T031200-CME-001
2015-12-18T21:00Z,-18.45,NA,2015-12-17T06:30Z,56.95,NA,WEC (Met Office) ,Met Office (Met Office),2015-12-16T093600-CME-001
2015-12-18T22:00Z,-17.45,NA,2015-12-17T07:18Z,56.15,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-12-16T093600-CME-001
2015-12-18T22:32Z,-16.92,NA,2015-12-17T22:35Z,40.87,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-12-16T093600-CME-001
2015-12-19T01:17Z,-14.17,78.3333,NA,NA,Max Kp Range: 3.75 - 5.8, Average of all Methods ,Auto Generated (CCMC),2015-12-16T093600-CME-001
"2015-12-19T01:17Z(-7.0h, +7.0h)",-14.17,NA,2015-12-16T21:15Z,66.2,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Karin Muglach (GSFC),2015-12-16T093600-CME-001
"2015-12-19T04:00Z(-12.0h, +12.0h)",-11.45,90,2015-12-17T11:08Z,52.32,Max Kp Range: 4.0 - 6.0,SIDC ,Leila Mays (GSFC),2015-12-16T093600-CME-001
"2015-12-19T04:14Z(-8.3h, +8.17h)",-11.22,75,2015-12-17T00:30Z,62.95,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Karin Muglach (GSFC),2015-12-16T093600-CME-001
"2015-12-19T06:00Z(-12.0h, +12.0h)",-9.45,70,2015-12-17T11:13Z,52.23,Max Kp Range: 4.0 - 7.0,SIDC ,Leila Mays (GSFC),2015-12-16T093600-CME-001
2015-12-30T10:00Z,-14.03,NA,2015-12-28T21:14Z,50.8,Max Kp Range: -- - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2015-12-28T123900-CME-001
"2015-12-30T16:00Z(-4.0h, +9.0h)",-8.03,90,2015-12-29T01:00Z,47.03,Max Kp Range: 5.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2015-12-28T123900-CME-001
