Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
2018-02-14T18:00Z,-13.63,NA,2018-02-13T09:57Z,45.68,NA,WEC (Met Office) ,Met Office (Met Office),2018-02-12T012500-CME-001
2018-02-14T22:25Z,-9.22,NA,2018-02-12T16:55Z,62.72,NA,SARM ,Marlon Nunez (UMA),2018-02-12T012500-CME-001
"2018-02-15T02:16Z(-14.3h, +10.4h)",-5.37,81,2018-02-13T15:27Z,40.18,Max Kp Range: 2.0 - 4.0,Ensemble WEC (GSFC SWRC) ,Michael GreklekMcKeon (CCMC),2018-02-12T012500-CME-001
2018-02-15T02:18Z,-5.33,NA,2018-02-13T12:10Z,43.47,NA,CAT-PUMA ,Jiajia Liu (UoS),2018-02-12T012500-CME-001
2018-02-15T06:09Z,-1.48,77.75,NA,NA,Max Kp Range: 2.75 - 4.6, Average of all Methods ,Auto Generated (CCMC),2018-02-12T012500-CME-001
"2018-02-15T06:24Z(-4.0h, +4.0h)",-1.23,NA,2018-02-13T07:00Z,48.63,NA,EAM,Evangelos Paouris (UoA),2018-02-12T012500-CME-001
"2018-02-15T06:42Z(-7.0h, +7.0h)",-0.93,NA,2018-02-12T16:33Z,63.08,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Mary Aronne (SWRC),2018-02-12T012500-CME-001
"2018-02-15T11:59Z(-12.0h, +12.0h)",4.35,90,2018-02-12T14:27Z,65.18,Max Kp Range: 3.0 - 4.0,SIDC ,Leila Mays (GSFC),2018-02-12T012500-CME-001
2018-02-15T14:28Z,6.83,NA,2018-02-13T10:20Z,45.3,NA, ElEvo ,Tanja Amerstorfer (SRI),2018-02-12T012500-CME-001
"2018-02-15T16:30Z(-6.0h, +6.0h)",8.87,70,2018-02-12T16:30Z,63.13,NA,DBM ,Manuela Temmer (UNIGRAZ),2018-02-12T012500-CME-001
2018-02-16T04:00Z,20.37,NA,2018-02-15T23:59Z,-16.35,Dst min. in nT: -47 Dst min. time: 2018-02-16T16:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2018-02-12T012500-CME-001
"2018-02-16T09:00Z(-7.0h, +7.0h)",25.37,70,2018-02-13T07:04Z,48.57,Max Kp Range: 3.0 - 5.0, NSSC SEPC ,Jingjing Wang (NSSC SEPC),2018-02-12T012500-CME-001
2018-03-08T15:46Z,-31.73,NA,2018-03-07T18:37Z,52.88,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2018-03-05T233900-CME-001
2018-03-09T09:35Z,-13.92,NA,2018-03-07T18:38Z,52.87,NA,SPM ,Xinhua Zhao (NSSC CAS),2018-03-05T233900-CME-001
"2018-03-09T10:43Z(-8.0h, +8.0h)",-12.78,50,2018-03-07T09:00Z,62.5,NA,EAM,Evangelos Paouris (UoA),2018-03-05T233900-CME-001
"2018-03-09T14:30Z(-12.0h, +12.0h)",-9,5,2018-03-06T15:31Z,79.98,Max Kp Range: 2.0 - 4.0,SIDC ,Yaireska Collado (GSFC),2018-03-05T233900-CME-001
2018-03-09T14:38Z,-8.87,50.25,NA,NA,Max Kp Range: 2.0 - 4.5, Average of all Methods ,Auto Generated (CCMC),2018-03-05T233900-CME-001
"2018-03-09T16:00Z(-8.0h, +10.0h)",-7.5,86,2018-03-07T15:16Z,56.23,NA, Other ,Mateja Dumbovic (UNIGRAZ),2018-03-05T233900-CME-001
"2018-03-09T18:30Z(-10.0h, +10.0h)",-5,NA,2018-03-07T15:14Z,56.27,NA,DBM ,Mateja Dumbovic (UNIGRAZ),2018-03-05T233900-CME-001
2018-03-10T00:00Z,0.5,NA,2018-03-06T16:45Z,78.75,NA, WEC ,Michael GreklekMcKeon (CCMC),2018-03-05T233900-CME-001
"2018-03-10T08:00Z(-10.0h, +10.0h)",8.5,60,2018-03-08T01:22Z,46.13,Max Kp Range: 2.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2018-03-05T233900-CME-001
2018-03-10T14:00Z,NA,10,2018-03-07T16:14Z,69.77,Max Kp Range: 2.0 - 4.0,SIDC ,Mary Aronne (SWRC),2018-03-06T235400-CME-001
2018-03-10T14:00Z,NA,10,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2018-03-06T235400-CME-001
